2025-09-13 00:52:07.381 | INFO | ==================== 日志系统初始化 ====================
2025-09-13 00:52:07.646 | INFO | 模板目录: templates\exploration
2025-09-13 00:52:07.646 | INFO | 模板目录存在: True
2025-09-13 00:52:07.647 | DEBUG | 检查模板文件: templates\exploration\entrance.png
2025-09-13 00:52:07.647 | DEBUG | 文件存在，尝试加载: templates\exploration\entrance.png
2025-09-13 00:52:07.647 | ERROR | cv2.imread失败: templates\exploration\entrance.png
2025-09-13 00:52:07.647 | DEBUG | 检查模板文件: templates\exploration\main.png
2025-09-13 00:52:07.647 | DEBUG | 文件存在，尝试加载: templates\exploration\main.png
2025-09-13 00:52:07.647 | ERROR | cv2.imread失败: templates\exploration\main.png
2025-09-13 00:52:07.647 | DEBUG | 检查模板文件: templates\exploration\settings_button.png
2025-09-13 00:52:07.647 | DEBUG | 文件存在，尝试加载: templates\exploration\settings_button.png
2025-09-13 00:52:07.647 | ERROR | cv2.imread失败: templates\exploration\settings_button.png
2025-09-13 00:52:07.648 | DEBUG | 检查模板文件: templates\exploration\normal_monster.png
2025-09-13 00:52:07.648 | DEBUG | 文件存在，尝试加载: templates\exploration\normal_monster.png
2025-09-13 00:52:07.648 | ERROR | cv2.imread失败: templates\exploration\normal_monster.png
2025-09-13 00:52:07.648 | DEBUG | 检查模板文件: templates\exploration\boss_monster.png
2025-09-13 00:52:07.648 | DEBUG | 文件存在，尝试加载: templates\exploration\boss_monster.png
2025-09-13 00:52:07.648 | ERROR | cv2.imread失败: templates\exploration\boss_monster.png
2025-09-13 00:52:07.648 | DEBUG | 检查模板文件: templates\exploration\up_exp.png
2025-09-13 00:52:07.648 | DEBUG | 文件存在，尝试加载: templates\exploration\up_exp.png
2025-09-13 00:52:07.648 | ERROR | cv2.imread失败: templates\exploration\up_exp.png
2025-09-13 00:52:07.648 | DEBUG | 检查模板文件: templates\exploration\up_coin.png
2025-09-13 00:52:07.648 | DEBUG | 文件存在，尝试加载: templates\exploration\up_coin.png
2025-09-13 00:52:07.648 | ERROR | cv2.imread失败: templates\exploration\up_coin.png
2025-09-13 00:52:07.648 | DEBUG | 检查模板文件: templates\exploration\up_daruma.png
2025-09-13 00:52:07.648 | DEBUG | 文件存在，尝试加载: templates\exploration\up_daruma.png
2025-09-13 00:52:07.649 | ERROR | cv2.imread失败: templates\exploration\up_daruma.png
2025-09-13 00:52:07.649 | DEBUG | 检查模板文件: templates\exploration\treasure_box.png
2025-09-13 00:52:07.649 | DEBUG | 文件存在，尝试加载: templates\exploration\treasure_box.png
2025-09-13 00:52:07.649 | ERROR | cv2.imread失败: templates\exploration\treasure_box.png
2025-09-13 00:52:07.649 | DEBUG | 检查模板文件: templates\exploration\get_reward.png
2025-09-13 00:52:07.649 | DEBUG | 文件存在，尝试加载: templates\exploration\get_reward.png
2025-09-13 00:52:07.649 | ERROR | cv2.imread失败: templates\exploration\get_reward.png
2025-09-13 00:52:07.649 | DEBUG | 检查模板文件: templates\exploration\auto_rotate_on.png
2025-09-13 00:52:07.649 | DEBUG | 文件存在，尝试加载: templates\exploration\auto_rotate_on.png
2025-09-13 00:52:07.649 | ERROR | cv2.imread失败: templates\exploration\auto_rotate_on.png
2025-09-13 00:52:07.649 | DEBUG | 检查模板文件: templates\exploration\auto_rotate_off.png
2025-09-13 00:52:07.649 | DEBUG | 文件存在，尝试加载: templates\exploration\auto_rotate_off.png
2025-09-13 00:52:07.649 | ERROR | cv2.imread失败: templates\exploration\auto_rotate_off.png
2025-09-13 00:52:07.649 | DEBUG | 检查模板文件: templates\exploration\swipe_end.png
2025-09-13 00:52:07.649 | DEBUG | 文件存在，尝试加载: templates\exploration\swipe_end.png
2025-09-13 00:52:07.650 | ERROR | cv2.imread失败: templates\exploration\swipe_end.png
2025-09-13 00:52:07.650 | DEBUG | 检查模板文件: templates\exploration\exit_confirm.png
2025-09-13 00:52:07.650 | DEBUG | 文件存在，尝试加载: templates\exploration\exit_confirm.png
2025-09-13 00:52:07.650 | ERROR | cv2.imread失败: templates\exploration\exit_confirm.png
2025-09-13 00:52:07.650 | INFO | 任务配置:
2025-09-13 00:52:07.650 | INFO | 探索章节: 第二十八章
2025-09-13 00:52:07.650 | INFO | UP类型: 经验UP
2025-09-13 00:52:07.650 | INFO | 战斗次数: 1
2025-09-13 00:52:07.650 | INFO | 时间限制: 0:02:00
2025-09-13 00:52:07.651 | INFO | 启动探索任务
2025-09-13 00:52:07.651 | INFO | 
2025-09-13 00:52:07.651 | INFO | >>> 开始任务: 探索任务 <<<
2025-09-13 00:52:07.651 | INFO | 
2025-09-13 00:52:07.651 | INFO | >>> 开始执行探索任务 - 第二十八章 <<<
2025-09-13 00:52:07.651 | INFO | 正在进入探索界面...
2025-09-13 00:52:08.019 | WARNING | 未找到探索入口，可能已在探索界面
2025-09-13 00:52:08.019 | INFO | 正在选择章节: 第二十八章
2025-09-13 00:53:05.788 | INFO | 
2025-09-13 00:53:05.788 | INFO | >>> 探索任务统计 <<<
2025-09-13 00:53:05.788 | INFO | 任务时长: 0:00:58.136387
2025-09-13 00:53:05.788 | INFO | 战斗次数: 0
2025-09-13 00:53:05.789 | INFO | 经验怪物: 0
2025-09-13 00:53:05.789 | INFO | 金币怪物: 0
2025-09-13 00:53:05.789 | INFO | 达摩怪物: 0
2025-09-13 00:53:05.789 | INFO | 宝箱收集: 0
2025-09-13 00:53:05.789 | ERROR | 探索任务失败
