2025-09-13 00:49:46.792 | INFO | ==================== 日志系统初始化 ====================
2025-09-13 00:49:46.998 | ERROR | 模板图片加载失败: templates\exploration\entrance.png
2025-09-13 00:49:46.998 | ERROR | 模板图片加载失败: templates\exploration\main.png
2025-09-13 00:49:46.999 | ERROR | 模板图片加载失败: templates\exploration\settings_button.png
2025-09-13 00:49:46.999 | ERROR | 模板图片加载失败: templates\exploration\normal_monster.png
2025-09-13 00:49:47.009 | ERROR | 模板图片加载失败: templates\exploration\boss_monster.png
2025-09-13 00:49:47.009 | ERROR | 模板图片加载失败: templates\exploration\up_exp.png
2025-09-13 00:49:47.009 | ERROR | 模板图片加载失败: templates\exploration\up_coin.png
2025-09-13 00:49:47.009 | ERROR | 模板图片加载失败: templates\exploration\up_daruma.png
2025-09-13 00:49:47.009 | ERROR | 模板图片加载失败: templates\exploration\treasure_box.png
2025-09-13 00:49:47.010 | ERROR | 模板图片加载失败: templates\exploration\get_reward.png
2025-09-13 00:49:47.010 | ERROR | 模板图片加载失败: templates\exploration\auto_rotate_on.png
2025-09-13 00:49:47.010 | ERROR | 模板图片加载失败: templates\exploration\auto_rotate_off.png
2025-09-13 00:49:47.010 | ERROR | 模板图片加载失败: templates\exploration\swipe_end.png
2025-09-13 00:49:47.010 | ERROR | 模板图片加载失败: templates\exploration\exit_confirm.png
2025-09-13 00:49:47.010 | ERROR | 配置错误: '第二十八章'
