2025-09-13 00:43:25.903 | INFO | ==================== 日志系统初始化 ====================
2025-09-13 00:44:46.874 | INFO | 配置已保存到 exploration_config.json
2025-09-13 00:44:47.115 | ERROR | 模板图片加载失败: templates\exploration\entrance.png
2025-09-13 00:44:47.115 | ERROR | 模板图片加载失败: templates\exploration\main.png
2025-09-13 00:44:47.115 | ERROR | 模板图片加载失败: templates\exploration\settings_button.png
2025-09-13 00:44:47.116 | ERROR | 模板图片加载失败: templates\exploration\normal_monster.png
2025-09-13 00:44:47.116 | ERROR | 模板图片加载失败: templates\exploration\boss_monster.png
2025-09-13 00:44:47.117 | ERROR | 模板图片加载失败: templates\exploration\up_exp.png
2025-09-13 00:44:47.117 | ERROR | 模板图片加载失败: templates\exploration\up_coin.png
2025-09-13 00:44:47.117 | ERROR | 模板图片加载失败: templates\exploration\up_daruma.png
2025-09-13 00:44:47.117 | ERROR | 模板图片加载失败: templates\exploration\treasure_box.png
2025-09-13 00:44:47.117 | ERROR | 模板图片加载失败: templates\exploration\get_reward.png
2025-09-13 00:44:47.117 | ERROR | 模板图片加载失败: templates\exploration\auto_rotate_on.png
2025-09-13 00:44:47.117 | ERROR | 模板图片加载失败: templates\exploration\auto_rotate_off.png
2025-09-13 00:44:47.118 | ERROR | 模板图片加载失败: templates\exploration\swipe_end.png
2025-09-13 00:44:47.118 | ERROR | 模板图片加载失败: templates\exploration\exit_confirm.png
2025-09-13 00:44:49.120 | INFO | 启动探索任务
2025-09-13 00:44:49.120 | INFO | 
2025-09-13 00:44:49.121 | INFO | >>> 开始任务: 探索任务 <<<
2025-09-13 00:44:49.121 | INFO | 
2025-09-13 00:44:49.121 | INFO | >>> 开始执行探索任务 - 第八章 <<<
2025-09-13 00:44:49.121 | INFO | 正在进入探索界面...
2025-09-13 00:44:49.553 | WARNING | 未找到探索入口，可能已在探索界面
2025-09-13 00:44:49.553 | INFO | 正在选择章节: 第八章
2025-09-13 00:44:50.553 | INFO | 章节选择完成
2025-09-13 00:44:50.555 | INFO | 开始探索循环
2025-09-13 00:49:06.311 | INFO | 
2025-09-13 00:49:06.311 | INFO | >>> 探索任务统计 <<<
2025-09-13 00:49:06.312 | INFO | 任务时长: 0:04:17.190068
2025-09-13 00:49:06.312 | INFO | 战斗次数: 0
2025-09-13 00:49:06.312 | INFO | 经验怪物: 0
2025-09-13 00:49:06.312 | INFO | 金币怪物: 0
2025-09-13 00:49:06.312 | INFO | 达摩怪物: 0
2025-09-13 00:49:06.312 | INFO | 宝箱收集: 0
2025-09-13 00:49:06.312 | ERROR | 探索任务失败
