2025-09-13 00:51:26.624 | INFO | ==================== 日志系统初始化 ====================
2025-09-13 00:51:26.857 | ERROR | 模板图片加载失败: templates\exploration\entrance.png
2025-09-13 00:51:26.857 | ERROR | 模板图片加载失败: templates\exploration\main.png
2025-09-13 00:51:26.857 | ERROR | 模板图片加载失败: templates\exploration\settings_button.png
2025-09-13 00:51:26.858 | ERROR | 模板图片加载失败: templates\exploration\normal_monster.png
2025-09-13 00:51:26.858 | ERROR | 模板图片加载失败: templates\exploration\boss_monster.png
2025-09-13 00:51:26.858 | ERROR | 模板图片加载失败: templates\exploration\up_exp.png
2025-09-13 00:51:26.858 | ERROR | 模板图片加载失败: templates\exploration\up_coin.png
2025-09-13 00:51:26.859 | ERROR | 模板图片加载失败: templates\exploration\up_daruma.png
2025-09-13 00:51:26.859 | ERROR | 模板图片加载失败: templates\exploration\treasure_box.png
2025-09-13 00:51:26.859 | ERROR | 模板图片加载失败: templates\exploration\get_reward.png
2025-09-13 00:51:26.859 | ERROR | 模板图片加载失败: templates\exploration\auto_rotate_on.png
2025-09-13 00:51:26.859 | ERROR | 模板图片加载失败: templates\exploration\auto_rotate_off.png
2025-09-13 00:51:26.860 | ERROR | 模板图片加载失败: templates\exploration\swipe_end.png
2025-09-13 00:51:26.860 | ERROR | 模板图片加载失败: templates\exploration\exit_confirm.png
2025-09-13 00:51:26.860 | INFO | 任务配置:
2025-09-13 00:51:26.860 | INFO | 探索章节: 第二十八章
2025-09-13 00:51:26.860 | INFO | UP类型: 经验UP
2025-09-13 00:51:26.860 | INFO | 战斗次数: 5
2025-09-13 00:51:26.860 | INFO | 时间限制: 0:10:00
2025-09-13 00:51:26.860 | INFO | 启动探索任务
2025-09-13 00:51:26.860 | INFO | 
2025-09-13 00:51:26.860 | INFO | >>> 开始任务: 探索任务 <<<
2025-09-13 00:51:26.860 | INFO | 
2025-09-13 00:51:26.860 | INFO | >>> 开始执行探索任务 - 第二十八章 <<<
2025-09-13 00:51:26.860 | INFO | 正在进入探索界面...
2025-09-13 00:51:27.200 | WARNING | 未找到探索入口，可能已在探索界面
2025-09-13 00:51:27.200 | INFO | 正在选择章节: 第二十八章
2025-09-13 00:51:51.825 | INFO | 
2025-09-13 00:51:51.825 | INFO | >>> 探索任务统计 <<<
2025-09-13 00:51:51.826 | INFO | 任务时长: 0:00:24.964448
2025-09-13 00:51:51.826 | INFO | 战斗次数: 0
2025-09-13 00:51:51.826 | INFO | 经验怪物: 0
2025-09-13 00:51:51.826 | INFO | 金币怪物: 0
2025-09-13 00:51:51.826 | INFO | 达摩怪物: 0
2025-09-13 00:51:51.826 | INFO | 宝箱收集: 0
2025-09-13 00:51:51.827 | ERROR | 探索任务失败
