2025-09-13 00:56:29.097 | INFO | ==================== 日志系统初始化 ====================
2025-09-13 00:56:29.330 | INFO | 模板目录: templates\exploration
2025-09-13 00:56:29.330 | INFO | 模板目录存在: True
2025-09-13 00:56:29.330 | DEBUG | 检查模板文件: templates\exploration\res_e_exploration_open.png
2025-09-13 00:56:29.330 | DEBUG | 文件存在，尝试加载: templates\exploration\res_e_exploration_open.png
2025-09-13 00:56:29.331 | INFO | 成功加载模板: entrance
2025-09-13 00:56:29.331 | DEBUG | 检查模板文件: templates\exploration\res_exploration_title.png
2025-09-13 00:56:29.331 | DEBUG | 文件存在，尝试加载: templates\exploration\res_exploration_title.png
2025-09-13 00:56:29.331 | INFO | 成功加载模板: main
2025-09-13 00:56:29.332 | DEBUG | 检查模板文件: templates\exploration\res_e_settings_button.png
2025-09-13 00:56:29.332 | DEBUG | 文件存在，尝试加载: templates\exploration\res_e_settings_button.png
2025-09-13 00:56:29.332 | INFO | 成功加载模板: settings_button
2025-09-13 00:56:29.332 | DEBUG | 检查模板文件: templates\exploration\res_e_exploration_click.png
2025-09-13 00:56:29.332 | DEBUG | 文件存在，尝试加载: templates\exploration\res_e_exploration_click.png
2025-09-13 00:56:29.332 | INFO | 成功加载模板: exploration_click
2025-09-13 00:56:29.332 | DEBUG | 检查模板文件: templates\exploration\res_e_open_settings.png
2025-09-13 00:56:29.333 | DEBUG | 文件存在，尝试加载: templates\exploration\res_e_open_settings.png
2025-09-13 00:56:29.333 | INFO | 成功加载模板: open_settings
2025-09-13 00:56:29.333 | DEBUG | 检查模板文件: templates\exploration\res_normal_battle_button.png
2025-09-13 00:56:29.333 | DEBUG | 文件存在，尝试加载: templates\exploration\res_normal_battle_button.png
2025-09-13 00:56:29.333 | INFO | 成功加载模板: normal_monster
2025-09-13 00:56:29.333 | DEBUG | 检查模板文件: templates\exploration\res_boss_battle_button.png
2025-09-13 00:56:29.333 | DEBUG | 文件存在，尝试加载: templates\exploration\res_boss_battle_button.png
2025-09-13 00:56:29.334 | INFO | 成功加载模板: boss_monster
2025-09-13 00:56:29.334 | DEBUG | 检查模板文件: templates\exploration\res_battle_start.png
2025-09-13 00:56:29.334 | DEBUG | 文件存在，尝试加载: templates\exploration\res_battle_start.png
2025-09-13 00:56:29.335 | INFO | 成功加载模板: battle_start
