2025-09-13 01:13:05.009 | INFO | ==================== 日志系统初始化 ====================
2025-09-13 01:13:05.022 | INFO | 配置文件不存在，使用默认配置
2025-09-13 01:13:15.984 | INFO | 配置已保存到 exploration_config.json
2025-09-13 01:13:16.215 | INFO | 模板目录: templates\exploration
2025-09-13 01:13:16.215 | INFO | 模板目录存在: False
2025-09-13 01:13:16.216 | DEBUG | 检查模板文件: templates\exploration\res_e_exploration_open.png
2025-09-13 01:13:16.216 | ERROR | 模板文件不存在: templates\exploration\res_e_exploration_open.png
2025-09-13 01:13:16.216 | DEBUG | 检查模板文件: templates\exploration\res_exploration_title.png
2025-09-13 01:13:16.216 | ERROR | 模板文件不存在: templates\exploration\res_exploration_title.png
2025-09-13 01:13:16.216 | DEBUG | 检查模板文件: templates\exploration\res_e_settings_button.png
2025-09-13 01:13:16.216 | ERROR | 模板文件不存在: templates\exploration\res_e_settings_button.png
2025-09-13 01:13:16.216 | DEBUG | 检查模板文件: templates\exploration\res_e_exploration_click.png
2025-09-13 01:13:16.216 | ERROR | 模板文件不存在: templates\exploration\res_e_exploration_click.png
2025-09-13 01:13:16.216 | DEBUG | 检查模板文件: templates\exploration\res_e_open_settings.png
2025-09-13 01:13:16.216 | ERROR | 模板文件不存在: templates\exploration\res_e_open_settings.png
2025-09-13 01:13:16.216 | DEBUG | 检查模板文件: templates\exploration\res_normal_battle_button.png
2025-09-13 01:13:16.216 | ERROR | 模板文件不存在: templates\exploration\res_normal_battle_button.png
2025-09-13 01:13:16.216 | DEBUG | 检查模板文件: templates\exploration\res_boss_battle_button.png
2025-09-13 01:13:16.216 | ERROR | 模板文件不存在: templates\exploration\res_boss_battle_button.png
2025-09-13 01:13:16.216 | DEBUG | 检查模板文件: templates\exploration\res_battle_start.png
2025-09-13 01:13:16.216 | ERROR | 模板文件不存在: templates\exploration\res_battle_start.png
2025-09-13 01:13:16.216 | DEBUG | 检查模板文件: templates\exploration\res_treasure_box_click.png
2025-09-13 01:13:16.217 | ERROR | 模板文件不存在: templates\exploration\res_treasure_box_click.png
2025-09-13 01:13:16.217 | DEBUG | 检查模板文件: templates\exploration\res_get_reward.png
2025-09-13 01:13:16.217 | ERROR | 模板文件不存在: templates\exploration\res_get_reward.png
2025-09-13 01:13:16.217 | DEBUG | 检查模板文件: templates\exploration\res_battle_reward.png
